winner,game_id,team,feudal_age_uptime,castle_age_uptime,imperial_age_uptime,old_rating,new_rating,match_rating_diff,replay_summary_raw,profile_id,civ,opening
True,364813816,0,,,,1074,1090,4.6666666666667425,{},10788939,franks,
False,364813816,1,,,,1097,1080,-4.6666666666667425,{},6816437,celts,
False,364781354,0,,,,759,740,19.0,{},11471977,britons,
True,364781354,1,,,,700,717,-19.0,{},18069075,vietnamese,
False,364781354,0,,,,668,653,19.0,{},9576218,georgians,
True,364781354,1,,,,689,706,-19.0,{},4424588,byzantines,
True,364922106,0,,,,594,612,-40.0,{},11692480,magyars,
False,364922106,1,,,,676,657,40.0,{},6308323,byzantines,
True,364922106,0,,,,557,577,-40.0,{},19538427,sicilians,
False,364922106,1,,,,649,631,40.0,{},3498088,teutons,
True,364922106,0,,,,661,676,-40.0,{},2745716,teutons,
False,364922106,1,,,,607,591,40.0,{},6311227,bengalis,
False,364979954,0,,,,689,673,-3.0,{},9116638,koreans,
True,364979954,1,,,,692,708,3.0,{},15654262,turks,
False,364804139,0,,,,328,314,-48.0,{},21429406,mongols,
True,364804139,1,,,,376,390,48.0,{},11443327,huns,
False,364982049,0,,,,1354,1338,6.75,{},1098104,khmer,
True,364982049,1,,,,1344,1361,-6.75,{},2281497,huns,
False,364982049,0,,,,1343,1327,6.75,{},6160925,celts,
True,364982049,1,,,,1388,1402,-6.75,{},4368696,mongols,
False,364982049,0,,,,1320,1305,6.75,{},2589306,spanish,
True,364982049,1,,,,1333,1350,-6.75,{},5418471,portuguese,
False,364982049,0,,,,1405,1386,6.75,{},560132,dravidians,
True,364982049,1,,,,1330,1347,-6.75,{},12168145,persians,
True,364800804,0,,,,1239,1255,-2.25,{},15257771,dravidians,
False,364800804,1,,,,1223,1207,2.25,{},6789058,portuguese,
True,364800804,0,,,,1208,1225,-2.25,{},10752051,mayans,
False,364800804,1,,,,1213,1198,2.25,{},4921314,malay,
True,364800804,0,,,,1224,1240,-2.25,{},2961434,bengalis,
False,364800804,1,,,,1253,1236,2.25,{},9085216,ethiopians,
True,364800804,0,,,,1245,1260,-2.25,{},2231222,franks,
False,364800804,1,,,,1236,1220,2.25,{},6112143,teutons,
False,364767721,0,,,,859,846,-14.0,{},10755762,huns,
True,364767721,1,,,,1062,1077,14.0,{},2878349,italians,
False,364767721,0,,,,1403,1375,-14.0,{},4848792,cumans,
True,364767721,1,,,,1044,1059,14.0,{},4800405,mayans,
False,364767721,0,,,,832,817,-14.0,{},10346065,franks,
True,364767721,1,,,,1030,1046,14.0,{},3048289,teutons,
False,364814773,0,,,,1550,1535,-22.0,{},14816534,huns,
True,364814773,1,,,,1572,1587,22.0,{},438906,burgundians,
True,364939813,0,,,,1430,1440,49.75,{},272856,berbers,
False,364939813,1,,,,1324,1309,-49.75,{},2662592,cumans,
True,364939813,0,,,,1381,1393,49.75,{},3331564,khmer,
False,364939813,1,,,,1413,1394,-49.75,{},269262,malay,
True,364939813,0,,,,1199,1219,49.75,{},3455661,portuguese,
False,364939813,1,,,,1283,1270,-49.75,{},1112150,slavs,
True,364939813,0,,,,1364,1377,49.75,{},3522387,goths,
False,364939813,1,,,,1155,1147,-49.75,{},14282485,lithuanians,
False,364921279,0,,,,1483,1469,-1.6666666666667425,{},2567920,dravidians,
True,364921279,1,,,,1519,1535,1.6666666666667425,{},2345797,byzantines,
False,364921279,0,,,,1560,1542,-1.6666666666667425,{},468034,romans,
True,364921279,1,,,,1512,1528,1.6666666666667425,{},9665014,tatars,
False,364921279,0,,,,1503,1488,-1.6666666666667425,{},2811441,gurjaras,
True,364921279,1,,,,1520,1536,1.6666666666667425,{},477808,persians,
True,364991633,0,,,,1208,1225,-14.5,{},9953313,lithuanians,
False,364991633,1,,,,1239,1222,14.5,{},5162806,hindustanis,
True,364991633,0,,,,1232,1248,-14.5,{},11623342,mongols,
False,364991633,1,,,,1230,1214,14.5,{},1284977,magyars,
True,364826080,0,,,,869,886,-16.0,{},4431365,franks,
False,364826080,1,,,,885,868,16.0,{},2545534,portuguese,
False,364929065,0,,,,1450,1435,-17.0,{},2129439,burgundians,
True,364929065,1,,,,1467,1482,17.0,{},602752,slavs,
True,364909233,0,,,,1070,1083,26.75,{},18289114,persians,
False,364909233,1,,,,1075,1057,-26.75,{},2564477,huns,
True,364909233,0,,,,1053,1067,26.75,{},17473611,turks,
False,364909233,1,,,,993,979,-26.75,{},11952771,persians,
True,364909233,0,,,,957,1012,26.75,{},10150131,tatars,
False,364909233,1,,,,994,980,-26.75,{},6012855,saracens,
True,364909233,0,,,,1075,1088,26.75,{},1051000,italians,
False,364909233,1,,,,986,972,-26.75,{},17842537,burgundians,
False,364909219,0,,,,1139,1124,-30.333333333333485,{},5454696,mayans,
True,364909219,1,,,,1100,1117,30.333333333333485,{},2041667,khmer,
False,364909219,0,,,,1057,1045,-30.333333333333485,{},5444606,saracens,
True,364909219,1,,,,1219,1231,30.333333333333485,{},4192179,bohemians,
False,364909219,0,,,,1174,1157,-30.333333333333485,{},3161507,burgundians,
True,364909219,1,,,,1142,1157,30.333333333333485,{},2052752,incas,
True,364949422,0,,,,1925,1941,-5.0,{},6072155,franks,
False,364949422,1,,,,1930,1914,5.0,{},329689,gurjaras,
True,364885380,0,,,,1120,1129,405.33333333333337,{},6368537,franks,
False,364885380,1,,,,1117,1111,-405.33333333333337,{},12545582,spanish,
True,364885380,0,,,,1448,1450,405.33333333333337,{},12845395,hindustanis,
False,364885380,1,,,,984,981,-405.33333333333337,{},8796118,incas,
True,364885380,0,,,,1500,1501,405.33333333333337,{},12493259,malians,
False,364885380,1,,,,751,750,-405.33333333333337,{},13512527,khmer,
False,364913188,0,,,,1087,1071,-5.0,{},1413345,portuguese,
True,364913188,1,,,,1092,1108,5.0,{},9788284,franks,
False,364816077,0,,,,1196,1192,-352.0,{},10094663,lithuanians,
True,364816077,1,,,,1548,1552,352.0,{},14278439,malay,
True,364829014,0,,,,1081,1096,12.0,{},5365602,mayans,
False,364829014,1,,,,1069,1054,-12.0,{},21638917,vietnamese,
False,365008277,0,,,,851,834,40.0,{},1348884,hindustanis,
