map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age,winner,team,feudal_age_uptime,castle_age_uptime,imperial_age_uptime,old_rating,new_rating,match_rating_diff,replay_summary_raw,profile_id,civ,opening
megarandom,2025-01-18 18:38:04+00:00,0 days 00:58:28.800000,0 days 00:34:24,366182769,561.5,2,552.0,571.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,552,537,-19.0,{},16761853,armenians,
megarandom,2025-01-18 18:38:04+00:00,0 days 00:58:28.800000,0 days 00:34:24,366182769,561.5,2,552.0,571.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,571,586,19.0,{},4845617,sicilians,
african_clearing,2025-01-15 07:09:25+00:00,0 days 00:27:35.800000,0 days 00:16:14,365442028,1088.0,2,1072.0,1104.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,1072,1057,-32.0,{},1281384,persians,
african_clearing,2025-01-15 07:09:25+00:00,0 days 00:27:35.800000,0 days 00:16:14,365442028,1088.0,2,1072.0,1104.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,1104,1119,32.0,{},6754378,bengalis,
african_clearing,2025-01-15 12:42:58+00:00,0 days 00:24:37.300000,0 days 00:14:29,365471026,1392.5,2,1293.0,1492.0,False,co_random_map,False,125283,66,random_map,normal,dark,False,0,,,,1293,1285,-199.0,{},13992101,dravidians,
african_clearing,2025-01-15 12:42:58+00:00,0 days 00:24:37.300000,0 days 00:14:29,365471026,1392.5,2,1293.0,1492.0,False,co_random_map,False,125283,66,random_map,normal,dark,True,1,,,,1492,1500,199.0,{},12621415,teutons,
lombardia,2025-01-15 17:53:26+00:00,0 days 01:06:23.100000,0 days 00:39:03,365519695,745.0,4,755.5,734.5,False,team_random_map,False,125283,7,random_map,normal,dark,True,0,,,,706,723,21.0,{},5939961,georgians,
lombardia,2025-01-15 17:53:26+00:00,0 days 01:06:23.100000,0 days 00:39:03,365519695,745.0,4,755.5,734.5,False,team_random_map,False,125283,7,random_map,normal,dark,False,1,,,,710,696,-21.0,{},19637227,magyars,
lombardia,2025-01-15 17:53:26+00:00,0 days 01:06:23.100000,0 days 00:39:03,365519695,745.0,4,755.5,734.5,False,team_random_map,False,125283,7,random_map,normal,dark,True,0,,,,805,818,21.0,{},9723289,teutons,
lombardia,2025-01-15 17:53:26+00:00,0 days 01:06:23.100000,0 days 00:39:03,365519695,745.0,4,755.5,734.5,False,team_random_map,False,125283,7,random_map,normal,dark,False,1,,,,759,743,-21.0,{},3745248,slavs,
acropolis,2025-01-16 13:23:02+00:00,0 days 00:27:49.400000,0 days 00:16:22,365671158,810.0,2,803.0,817.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,803,820,-14.0,{},21554951,franks,
acropolis,2025-01-16 13:23:02+00:00,0 days 00:27:49.400000,0 days 00:16:22,365671158,810.0,2,803.0,817.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,817,800,14.0,{},5348171,burgundians,
lowland,2025-01-18 03:06:16+00:00,0 days 00:00:10.200000,0 days 00:00:06,366030362,887.5,2,894.0,881.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,894,877,13.0,{},5659769,aztecs,
lowland,2025-01-18 03:06:16+00:00,0 days 00:00:10.200000,0 days 00:00:06,366030362,887.5,2,894.0,881.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,881,898,-13.0,{},19962841,bulgarians,
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,0,,,,1067,1081,13.5,{},2254238,teutons,
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,1,,,,1035,1019,-13.5,{},12964756,chinese,
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,0,,,,1035,1051,13.5,{},1358269,mayans,
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,1,,,,1023,1008,-13.5,{},2741658,persians,
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,0,,,,1048,1063,13.5,{},2104001,georgians,
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,1,,,,1035,1019,-13.5,{},16920175,poles,
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,0,,,,1021,1037,13.5,{},415858,persians,
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,1,,,,1024,1009,-13.5,{},5079471,huns,
arena,2025-01-17 05:50:13+00:00,0 days 00:57:42.900000,0 days 00:33:57,365829537,782.0,2,795.0,769.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,795,778,26.0,{},278644,gurjaras,
arena,2025-01-17 05:50:13+00:00,0 days 00:57:42.900000,0 days 00:33:57,365829537,782.0,2,795.0,769.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,769,786,-26.0,{},2880158,huns,
hideout,2025-01-15 03:28:45+00:00,0 days 00:11:55.700000,0 days 00:07:01,365420031,1788.5,2,1764.0,1813.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,1764,1750,-49.0,{},585631,cumans,
hideout,2025-01-15 03:28:45+00:00,0 days 00:11:55.700000,0 days 00:07:01,365420031,1788.5,2,1764.0,1813.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,1813,1827,49.0,{},3034651,goths,
african_clearing,2025-01-12 12:14:56+00:00,0 days 00:49:26.500000,0 days 00:29:05,364826080,877.0,2,869.0,885.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,869,886,-16.0,{},4431365,franks,
african_clearing,2025-01-12 12:14:56+00:00,0 days 00:49:26.500000,0 days 00:29:05,364826080,877.0,2,869.0,885.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,885,868,16.0,{},2545534,portuguese,
lowland,2025-01-17 03:36:15+00:00,0 days 00:47:15.600000,0 days 00:27:48,365813983,1198.5,2,1190.0,1207.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,1190,1207,-17.0,{},21734672,mongols,
lowland,2025-01-17 03:36:15+00:00,0 days 00:47:15.600000,0 days 00:27:48,365813983,1198.5,2,1190.0,1207.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,1207,1190,17.0,{},2949238,goths,
arabia,2025-01-18 20:59:29+00:00,0 days 00:03:58,0 days 00:02:20,366217659,738.0,4,729.0,747.0,False,team_random_map,False,125283,7,random_map,normal,dark,True,0,,,,731,761,-18.0,{},12006302,teutons,
arabia,2025-01-18 20:59:29+00:00,0 days 00:03:58,0 days 00:02:20,366217659,738.0,4,729.0,747.0,False,team_random_map,False,125283,7,random_map,normal,dark,False,1,,,,749,732,18.0,{},2072858,slavs,
arabia,2025-01-18 20:59:29+00:00,0 days 00:03:58,0 days 00:02:20,366217659,738.0,4,729.0,747.0,False,team_random_map,False,125283,7,random_map,normal,dark,True,0,,,,727,768,-18.0,{},21604104,britons,
arabia,2025-01-18 20:59:29+00:00,0 days 00:03:58,0 days 00:02:20,366217659,738.0,4,729.0,747.0,False,team_random_map,False,125283,7,random_map,normal,dark,False,1,,,,745,728,18.0,{},6357023,chinese,
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,603,595,-40.5,{},6158903,malians,
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,787,801,40.5,{},15602346,mongols,
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,871,851,-40.5,{},2552633,britons,
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,664,684,40.5,{},15134354,spanish,
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,605,597,-40.5,{},2552621,byzantines,
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,967,992,40.5,{},2755368,goths,
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,903,882,-40.5,{},753708,lithuanians,
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,726,743,40.5,{},15614833,bohemians,
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,924,897,2.75,{},20594219,poles,
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,947,963,-2.75,{},16646541,khmer,
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,1012,993,2.75,{},991262,goths,
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,971,986,-2.75,{},2693174,khmer,
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,861,849,2.75,{},12253673,cumans,
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,940,957,-2.75,{},21770843,spanish,
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,1019,1000,2.75,{},17089714,burgundians,
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,947,963,-2.75,{},15259466,romans,
land_nomad,2025-01-13 15:24:03+00:00,0 days 00:55:28.600000,0 days 00:32:38,365095727,1029.75,4,1029.5,1030.0,False,team_random_map,False,125283,7,random_map,normal,dark,False,0,,,,1015,1000,-0.5,{},12480807,franks,
land_nomad,2025-01-13 15:24:03+00:00,0 days 00:55:28.600000,0 days 00:32:38,365095727,1029.75,4,1029.5,1030.0,False,team_random_map,False,125283,7,random_map,normal,dark,True,1,,,,1023,1039,0.5,{},5130571,magyars,
land_nomad,2025-01-13 15:24:03+00:00,0 days 00:55:28.600000,0 days 00:32:38,365095727,1029.75,4,1029.5,1030.0,False,team_random_map,False,125283,7,random_map,normal,dark,False,0,,,,1044,1027,-0.5,{},4802348,romans,
land_nomad,2025-01-13 15:24:03+00:00,0 days 00:55:28.600000,0 days 00:32:38,365095727,1029.75,4,1029.5,1030.0,False,team_random_map,False,125283,7,random_map,normal,dark,True,1,,,,1037,1053,0.5,{},217021,franks,
black_forest,2025-01-18 10:45:32+00:00,0 days 00:19:17.700000,0 days 00:11:21,366089283,1001.75,4,990.5,1013.0,False,team_random_map,False,125283,7,random_map,normal,dark,True,0,,,,985,1002,-22.5,{},4633146,cumans,
black_forest,2025-01-18 10:45:32+00:00,0 days 00:19:17.700000,0 days 00:11:21,366089283,1001.75,4,990.5,1013.0,False,team_random_map,False,125283,7,random_map,normal,dark,False,1,,,,1074,1054,22.5,{},17076046,italians,
black_forest,2025-01-18 10:45:32+00:00,0 days 00:19:17.700000,0 days 00:11:21,366089283,1001.75,4,990.5,1013.0,False,team_random_map,False,125283,7,random_map,normal,dark,True,0,,,,996,1013,-22.5,{},4648150,bulgarians,
black_forest,2025-01-18 10:45:32+00:00,0 days 00:19:17.700000,0 days 00:11:21,366089283,1001.75,4,990.5,1013.0,False,team_random_map,False,125283,7,random_map,normal,dark,False,1,,,,952,938,22.5,{},20847849,goths,
arena,2025-01-12 10:53:33+00:00,0 days 00:00:44.200000,0 days 00:00:26,364812791,338.5,2,331.0,346.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,331,348,-15.0,{},12097810,spanish,
arena,2025-01-12 10:53:33+00:00,0 days 00:00:44.200000,0 days 00:00:26,364812791,338.5,2,331.0,346.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,346,329,15.0,{},21834318,mayans,
arabia,2025-01-13 00:01:50+00:00,0 days 00:21:50.700000,0 days 00:12:51,364988488,1000.0,2,999.0,1001.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,999,1015,-2.0,{},20005689,celts,
arabia,2025-01-13 00:01:50+00:00,0 days 00:21:50.700000,0 days 00:12:51,364988488,1000.0,2,999.0,1001.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,1001,985,2.0,{},5832653,vietnamese,
arena,2025-01-18 16:31:01+00:00,0 days 00:51:22.100000,0 days 00:30:13,366154709,1022.0,2,1020.0,1024.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,1020,1004,-4.0,{},2003280,cumans,
arena,2025-01-18 16:31:01+00:00,0 days 00:51:22.100000,0 days 00:30:13,366154709,1022.0,2,1020.0,1024.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,1024,1040,4.0,{},1807480,malay,
arena,2025-01-12 11:01:28+00:00,0 days 00:35:23.300000,0 days 00:20:49,364813816,1075.6666666666667,6,1078.0,1073.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark,True,0,,,,1114,1128,4.6666666666667425,{},7598664,bohemians,
arena,2025-01-12 11:01:28+00:00,0 days 00:35:23.300000,0 days 00:20:49,364813816,1075.6666666666667,6,1078.0,1073.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark,False,1,,,,1106,1089,-4.6666666666667425,{},5688003,franks,
