map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age
arabia,2025-01-18 00:24:26+00:00,0 days 00:48:49.100000,0 days 00:28:43,366003694,1400.5,2,1400.0,1401.0,False,random_map,False,125283,6,random_map,normal,dark
megarandom,2025-01-18 21:00:32+00:00,0 days 01:39:37.200000,0 days 00:58:36,366217858,781.0,2,778.0,784.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-17 10:52:55+00:00,0 days 00:53:16,0 days 00:31:20,365854644,1189.5,2,1177.0,1202.0,False,random_map,False,125283,6,random_map,normal,dark
lowland,2025-01-14 16:37:10+00:00,0 days 00:05:36.600000,0 days 00:03:18,365307980,1283.5,2,1282.0,1285.0,False,random_map,False,125283,6,random_map,normal,dark
land_nomad,2025-01-16 16:59:57+00:00,0 days 01:33:38.500000,0 days 00:55:05,365705081,1110.6666666666667,6,1117.3333333333333,1104.0,False,team_random_map,False,125283,8,random_map,normal,dark
megarandom,2025-01-16 18:08:31+00:00,0 days 00:14:20.200000,0 days 00:08:26,365716943,1779.75,8,1889.0,1670.5,False,team_random_map,False,125283,9,random_map,normal,dark
arabia,2025-01-15 15:15:12+00:00,0 days 00:24:32.200000,0 days 00:14:26,365493923,2018.5,2,2077.0,1960.0,False,random_map,False,125283,6,random_map,normal,dark
black_forest,2025-01-17 00:29:40+00:00,0 days 01:27:09.200000,0 days 00:51:16,365786970,743.375,8,773.25,713.5,False,team_random_map,False,125283,9,random_map,normal,dark
acropolis,2025-01-12 21:04:40+00:00,0 days 00:59:58.900000,0 days 00:35:17,364952096,732.0,2,723.0,741.0,False,random_map,False,125283,6,random_map,normal,dark
nomad,2025-01-17 10:02:10+00:00,0 days 00:46:36.500000,0 days 00:27:25,365849900,1302.25,8,1303.0,1301.5,False,team_random_map,False,125283,9,random_map,normal,dark
